rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.334518575668335,7.217274368,1.5576941967010498,4.747860980375087
16,32,3686400,4.5075069785118105,6.617750016,1.5160834789276123,4.554353000077306
16,32,29933568,5.046856530507406,10.591514624,1.4948303699493408,4.458580179516097
64,128,14745600,4.634143348534902,7.999032832,1.4768110513687134,4.378959115873907
